data,query,filter,order,engine,preproc_time,total_time,mem_cost,coverage,coverage_per_time
human,query_24_1,VEQ,CFL,MM,14.4797,100015.0,776684,225,0.0022496625506174075
human,query_24_1,VEQ,CFL,MMN,14.5005,100016.0,776684,225,0.0022496400575907857
human,query_24_1,VEQ,CFL,MMI,14.4553,100016.0,776684,225,0.0022496400575907857
human,query_24_2,VEQ,CFL,MM,2.62707,3.96363,13544,43,10.848641270754333
human,query_24_2,VEQ,CFL,MMN,2.57288,3.8888,13544,43,11.05739559761366
human,query_24_2,VEQ,CFL,MMI,2.61337,3.95744,13544,43,10.8656100913722
human,query_24_3,VEQ,CFL,MM,31.8918,100033.0,1977332,179,0.001789409494866694
human,query_24_3,VEQ,CFL,MMN,44.077,100045.0,1977332,179,0.0017891948623119597
human,query_24_3,VEQ,CFL,MMI,42.0635,100043.0,1977332,179,0.0017892306308287436
human,query_24_4,VEQ,CFL,MM,171.999,100173.0,4175944,169,0.0016870813492657702
human,query_24_4,VEQ,CFL,MMN,143.44,100144.0,4175944,169,0.0016875698993449432
human,query_24_4,VEQ,CFL,MMI,123.206,100124.0,4175944,24,0.00023970276856697694
human,query_24_5,VEQ,CFL,MM,79.5176,100081.0,2082620,0,0.0
human,query_24_5,VEQ,CFL,MMN,86.4397,100087.0,2082620,0,0.0
human,query_24_5,VEQ,CFL,MMI,84.9924,100086.0,2082620,94,0.0009391922946266211
human,query_24_6,VEQ,CFL,MM,52.4024,100053.0,1064968,480,0.004797457347605769
human,query_24_6,VEQ,CFL,MMN,66.9454,100068.0,1064968,480,0.004796738218011752
human,query_24_6,VEQ,CFL,MMI,81.6024,100083.0,1064968,480,0.004796019303977698
human,query_24_7,VEQ,CFL,MM,21.1055,83.2115,219104,526,6.321241655300049
human,query_24_7,VEQ,CFL,MMN,18.8152,68.571,219104,526,7.67088127634131
human,query_24_7,VEQ,CFL,MMI,20.1136,81.855,219104,526,6.4259971901533195
human,query_24_8,VEQ,CFL,MM,43.5415,100045.0,1612828,61,0.0006097256234694387
human,query_24_8,VEQ,CFL,MMN,67.1043,100068.0,1612828,61,0.0006095854818723268
human,query_24_8,VEQ,CFL,MMI,63.9091,100065.0,1612828,85,0.0008494478588917204
human,query_24_9,VEQ,CFL,MM,7.64026,1944.3,21936,116,0.05966157485984673
human,query_24_9,VEQ,CFL,MMN,7.57221,1811.0,21936,116,0.06405300938707896
human,query_24_9,VEQ,CFL,MMI,7.55959,7488.71,21936,116,0.015489984256300484
human,query_24_10,VEQ,CFL,MM,60.0803,100061.0,1800284,217,0.0021686771069647517
human,query_24_10,VEQ,CFL,MMN,59.8575,100061.0,1800284,217,0.0021686771069647517
human,query_24_10,VEQ,CFL,MMI,59.7306,100061.0,1800284,220,0.002198658818120946
human,query_24_11,VEQ,CFL,MM,60.1752,100061.0,6230632,65,0.0006496037417175523
human,query_24_11,VEQ,CFL,MMN,55.3681,100056.0,6230632,65,0.0006496362037259135
human,query_24_11,VEQ,CFL,MMI,56.5222,100058.0,6230632,47,0.0004697275580163505
human,query_24_12,VEQ,CFL,MM,7.13952,100008.0,618736,52,0.0005199584033277338
human,query_24_12,VEQ,CFL,MMN,7.16196,100008.0,618736,52,0.0005199584033277338
human,query_24_12,VEQ,CFL,MMI,13.8167,100015.0,618736,52,0.0005199220116982453
