data,query,filter,order,engine,preproc_time,total_time,mem_cost,coverage,coverage_per_time
yeast,query_8_1,VEQ,CFL,MM,1.02226,3.43926,3008,124,36.05426748777353
yeast,query_8_1,VEQ,CFL,MMN,1.06796,3.40552,3008,124,36.41147313772933
yeast,query_8_1,VEQ,CFL,MMI,1.04615,3.40565,3008,124,36.41008324402097
yeast,query_8_2,VEQ,CFL,MM,0.558816,0.836083,1480,26,31.09739104849638
yeast,query_8_2,VEQ,CFL,MMN,0.557328,0.822828,1480,26,31.598341330144333
yeast,query_8_2,VEQ,CFL,MMI,0.558029,0.836795,1480,26,31.070931351167253
yeast,query_8_3,VEQ,CFL,MM,1.94712,2.00788,1528,43,21.415622447556625
yeast,query_8_3,VEQ,CFL,MMN,2.04371,2.10202,1528,43,20.45651325867499
yeast,query_8_3,VEQ,CFL,MMI,2.00097,2.06349,1528,43,20.83848237694392
yeast,query_8_4,VEQ,CFL,MM,5.00108,5.51628,6988,38,6.888700356037039
yeast,query_8_4,VEQ,CFL,MMN,5.02873,5.53505,6988,38,6.8653399698286375
yeast,query_8_4,VEQ,CFL,MMI,2.58346,2.83432,6988,38,13.407095881904654
yeast,query_8_5,VEQ,CFL,MM,0.477987,0.531115,284,16,30.125302429793923
yeast,query_8_5,VEQ,CFL,MMN,0.489342,0.535158,284,16,29.89771245127607
yeast,query_8_5,VEQ,CFL,MMI,0.490356,0.541592,284,16,29.542533863129442
yeast,query_8_6,VEQ,CFL,MM,12.2594,2966.15,70788,773,0.26060718439728264
yeast,query_8_6,VEQ,CFL,MMN,12.4132,2765.15,70788,773,0.27955083811004827
yeast,query_8_6,VEQ,CFL,MMI,12.3344,2884.05,70788,773,0.26802586640314835
yeast,query_8_7,VEQ,CFL,MM,4.27966,227.227,19076,394,1.733948870512747
yeast,query_8_7,VEQ,CFL,MMN,4.36646,205.111,19076,394,1.9209111164198898
yeast,query_8_7,VEQ,CFL,MMI,4.38361,200.1,19076,394,1.9690154922538732
yeast,query_8_8,VEQ,CFL,MM,2.93338,5.78987,10224,184,31.779642720821023
yeast,query_8_8,VEQ,CFL,MMN,2.44558,4.83958,10224,184,38.01982816690705
yeast,query_8_8,VEQ,CFL,MMI,2.15599,4.07087,10224,184,45.19918346692476
yeast,query_8_9,VEQ,CFL,MM,0.882064,0.991621,1572,74,74.62528526523742
yeast,query_8_9,VEQ,CFL,MMN,1.06313,1.22172,1572,74,60.57034345021773
yeast,query_8_9,VEQ,CFL,MMI,1.64629,1.85763,1572,74,39.83570463439975
yeast,query_8_10,VEQ,CFL,MM,21.9917,2287.73,62176,515,0.2251139776109943
yeast,query_8_10,VEQ,CFL,MMN,10.9715,2330.76,62176,515,0.2209579707906434
yeast,query_8_10,VEQ,CFL,MMI,10.9695,2328.47,62176,515,0.221175278186964
yeast,query_8_11,VEQ,CFL,MM,2.5193,2.73934,4776,175,63.884001255776944
yeast,query_8_11,VEQ,CFL,MMN,1.95455,2.11379,4776,175,82.78968109414843
yeast,query_8_11,VEQ,CFL,MMI,2.63871,2.84593,4776,175,61.49132269592014
yeast,query_8_12,VEQ,CFL,MM,14.0657,382.098,100096,516,1.350438892640108
yeast,query_8_12,VEQ,CFL,MMN,14.156,281.483,100096,516,1.8331480053857603
yeast,query_8_12,VEQ,CFL,MMI,15.4372,241.299,100096,516,2.138425770517076
yeast,query_8_13,VEQ,CFL,MM,2.01108,2.41734,3972,101,41.78146226844383
yeast,query_8_13,VEQ,CFL,MMN,1.98372,2.39994,3972,101,42.084385442969406
yeast,query_8_13,VEQ,CFL,MMI,1.94219,2.34357,3972,101,43.09664315552767
yeast,query_8_14,VEQ,CFL,MM,2.61921,68.8751,17156,165,2.395640804877234
yeast,query_8_14,VEQ,CFL,MMN,2.81264,85.8073,17156,165,1.9229133185638052
yeast,query_8_14,VEQ,CFL,MMI,2.85292,72.5968,17156,165,2.2728274524496945
yeast,query_8_15,VEQ,CFL,MM,5.8955,145.53,30696,279,1.9171304885590599
yeast,query_8_15,VEQ,CFL,MMN,5.91777,110.862,30696,279,2.516642312063647
yeast,query_8_15,VEQ,CFL,MMI,6.07043,146.121,30696,279,1.9093764756605824
yeast,query_8_16,VEQ,CFL,MM,1.73549,3.40196,4580,121,35.56773154299287
yeast,query_8_16,VEQ,CFL,MMN,1.73957,3.33459,4580,121,36.286320057338386
yeast,query_8_16,VEQ,CFL,MMI,3.37627,6.67188,4580,121,18.135817790487838
yeast,query_8_17,VEQ,CFL,MM,1.28567,2.20561,3888,122,55.31349603964436
yeast,query_8_17,VEQ,CFL,MMN,2.55228,4.39399,3888,122,27.76519746289819
yeast,query_8_17,VEQ,CFL,MMI,1.24703,2.1614,3888,122,56.44489682613121
yeast,query_8_18,VEQ,CFL,MM,0.845489,0.893378,448,11,12.312817194961147
yeast,query_8_18,VEQ,CFL,MMN,0.441492,0.46238,448,11,23.789956312989315
yeast,query_8_18,VEQ,CFL,MMI,0.475246,0.50272,448,11,21.880967536600895
yeast,query_8_19,VEQ,CFL,MM,1.45861,1.65254,1668,59,35.702615367857966
yeast,query_8_19,VEQ,CFL,MMN,0.705076,0.801348,1668,59,73.62594029061033
yeast,query_8_19,VEQ,CFL,MMI,1.43738,1.63913,1668,59,35.99470450787918
