data,query,filter,order,engine,preproc_time,total_time,mem_cost,coverage,coverage_per_time
dblp,query_32_1,VEQ,CFL,MM,168.652,100170,197384,1275,0.012728361784965558
dblp,query_32_2,VEQ,CFL,MM,133.05,100134,125396,721,0.0072003515289512056
dblp,query_32_3,VEQ,CFL,MM,99.009,100100,117172,185,0.0018481518481518482
dblp,query_32_4,VEQ,CFL,MM,108.6,100110,74848,158,0.0015782639096993307
dblp,query_32_5,VEQ,CFL,MM,115.482,100117,107700,153,0.0015282119919693958
dblp,query_32_6,VEQ,CFL,MM,150.147,100151,149480,1082,0.010803686433485437
dblp,query_32_7,VEQ,CFL,MM,113.608,100115,114000,397,0.003965439744294062
dblp,query_32_8,VEQ,CFL,MM,122.235,100123,95828,217,0.0021673341789598794
dblp,query_32_9,VEQ,CFL,MM,112.622,100114,80500,119,0.0011886449447629703
dblp,query_32_10,VEQ,CFL,MM,132.488,100134,137468,444,0.004434058361795195
dblp,query_32_11,VEQ,CFL,MM,146.105,100147,128612,391,0.003904260736717026
dblp,query_32_12,VEQ,CFL,MM,104.565,100106,123320,412,0.00411563742433021
dblp,query_32_13,VEQ,CFL,MM,90.8211,100092,134684,236,0.0023578307956679855
dblp,query_32_14,VEQ,CFL,MM,113.347,100114,93204,162,0.0016181553029546317
dblp,query_32_15,VEQ,CFL,MM,115.225,100116,95832,189,0.0018878101402373248
dblp,query_32_16,VEQ,CFL,MM,78.2139,100081,104064,130,0.0012989478522396859
dblp,query_32_17,VEQ,CFL,MM,128.061,100129,126144,122,0.0012184282275864136
dblp,query_32_18,VEQ,CFL,MM,139.333,100141,152848,621,0.006201256228717508
dblp,query_32_19,VEQ,CFL,MM,114.198,100115,115964,870,0.008690006492533587
dblp,query_32_20,VEQ,CFL,MM,142.514,100144,147220,489,0.004882968525323534
dblp,query_32_21,VEQ,CFL,MM,124.389,100126,91428,399,0.003984978926552544
dblp,query_32_22,VEQ,CFL,MM,105.809,100107,91612,164,0.0016382470756290768
dblp,query_32_23,VEQ,CFL,MM,96.719,100098,88916,122,0.0012188055705408699
dblp,query_32_24,VEQ,CFL,MM,96.3383,100099,123744,0,0.0
dblp,query_32_25,VEQ,CFL,MM,84.5024,100087,118632,175,0.0017484788234236215
dblp,query_32_26,VEQ,CFL,MM,101.322,100102,113276,470,0.0046952108848974045
dblp,query_32_27,VEQ,CFL,MM,110.854,100113,135500,150,0.0014983069131880974
dblp,query_32_28,VEQ,CFL,MM,165.208,100168,140036,756,0.007547320501557384
dblp,query_32_29,VEQ,CFL,MM,91.428,100093,129032,215,0.002148002357807239
dblp,query_32_30,VEQ,CFL,MM,92.3389,100095,135052,121,0.0012088515909885608
dblp,query_32_31,VEQ,CFL,MM,134.271,100135,146808,1304,0.013022419733359963
dblp,query_32_32,VEQ,CFL,MM,107.793,100109,118808,104,0.0010388676342786363
dblp,query_32_33,VEQ,CFL,MM,83.546,100086,77000,235,0.002347980736566553
dblp,query_32_34,VEQ,CFL,MM,91.1483,100093,103412,138,0.0013787177924530188
dblp,query_32_35,VEQ,CFL,MM,128.323,100129,132580,437,0.004364369962748055
dblp,query_32_36,VEQ,CFL,MM,76.638,100079,84336,285,0.0028477502772809482
dblp,query_32_37,VEQ,CFL,MM,94.2028,100095,138776,113,0.0011289275188570858
dblp,query_32_38,VEQ,CFL,MM,102.739,100104,102312,166,0.0016582753935906658
dblp,query_32_39,VEQ,CFL,MM,107.175,100110,121376,292,0.0029167915293177504
dblp,query_32_40,VEQ,CFL,MM,139.049,100140,104772,235,0.0023467145995606153
dblp,query_32_41,VEQ,CFL,MM,80.63,100082,132240,178,0.001778541595891369
dblp,query_32_42,VEQ,CFL,MM,151.138,100152,126444,1019,0.010174534707244987
dblp,query_32_43,VEQ,CFL,MM,96.8316,100099,102992,155,0.001548467017652524
dblp,query_32_44,VEQ,CFL,MM,174.407,100176,152432,985,0.009832694457754353
dblp,query_32_45,VEQ,CFL,MM,97.6187,100100,90268,122,0.0012187812187812188
dblp,query_32_46,VEQ,CFL,MM,155.782,100157,124664,1779,0.01776211348183352
dblp,query_32_47,VEQ,CFL,MM,115.858,100117,119636,266,0.002656891437018688
dblp,query_32_48,VEQ,CFL,MM,109.361,100111,129368,876,0.008750287181228836
dblp,query_32_49,VEQ,CFL,MM,104.729,100108,92924,0,0.0
dblp,query_32_50,VEQ,CFL,MM,141.673,100143,102196,258,0.002576315868308319
dblp,query_32_1,VEQ,CFL,MMI,169.715,100172,197384,1434,0.014315377550612947
dblp,query_32_2,VEQ,CFL,MMI,136.121,100139,125396,96,0.0009586674522413845
dblp,query_32_3,VEQ,CFL,MMI,107.808,100110,117172,128,0.001278593547098192
dblp,query_32_4,VEQ,CFL,MMI,106.926,100109,74848,32,0.00031965157977804193
dblp,query_32_5,VEQ,CFL,MMI,137.035,100138,107700,248,0.0024765823164033633
dblp,query_32_6,VEQ,CFL,MMI,158.485,100160,149480,223,0.0022264376996805114
dblp,query_32_7,VEQ,CFL,MMI,125.232,100126,114000,32,0.0003195973073926852
dblp,query_32_8,VEQ,CFL,MMI,123.342,100125,95828,32,0.0003196004993757803
dblp,query_32_9,VEQ,CFL,MMI,133.841,100135,80500,32,0.0003195685824137415
dblp,query_32_10,VEQ,CFL,MMI,127.989,100129,137468,444,0.004434279779084981
dblp,query_32_11,VEQ,CFL,MMI,162.722,100165,128612,579,0.005780462237308441
dblp,query_32_12,VEQ,CFL,MMI,104.196,100105,123320,754,0.007532091304130663
dblp,query_32_13,VEQ,CFL,MMI,95.9346,100097,134684,63,0.0006293894921925732
dblp,query_32_14,VEQ,CFL,MMI,113.026,100114,93204,32,0.00031963561539844577
dblp,query_32_15,VEQ,CFL,MMI,115.625,100118,95832,285,0.002846640963662878
dblp,query_32_16,VEQ,CFL,MMI,76.3672,100078,104064,257,0.002567996962369352
dblp,query_32_17,VEQ,CFL,MMI,144.582,100146,126144,32,0.00031953348111756836
dblp,query_32_18,VEQ,CFL,MMI,139.672,100141,152848,223,0.002226860127220619
dblp,query_32_19,VEQ,CFL,MMI,124.882,100126,115964,854,0.008529253141042286
dblp,query_32_20,VEQ,CFL,MMI,143.021,100144,147220,159,0.0015877136922831123
dblp,query_32_21,VEQ,CFL,MMI,150.89,100152,91428,443,0.004423276619538302
dblp,query_32_22,VEQ,CFL,MMI,112.142,100113,91612,64,0.0006392776162935883
dblp,query_32_23,VEQ,CFL,MMI,111.936,100113,88916,64,0.0006392776162935883
dblp,query_32_24,VEQ,CFL,MMI,81.713,100084,123744,0,0.0
dblp,query_32_25,VEQ,CFL,MMI,69.1638,100071,118632,239,0.0023883043039441996
dblp,query_32_26,VEQ,CFL,MMI,100.996,100102,113276,496,0.0049549459551257715
dblp,query_32_27,VEQ,CFL,MMI,102.096,100105,135500,159,0.0015883322511363069
dblp,query_32_28,VEQ,CFL,MMI,149.99,100151,140036,696,0.00694950624556919
dblp,query_32_29,VEQ,CFL,MMI,76.4263,100078,129032,159,0.0015887607666020503
dblp,query_32_30,VEQ,CFL,MMI,94.3474,100097,135052,32,0.00031968990079622766
dblp,query_32_31,VEQ,CFL,MMI,151.441,100153,146808,1367,0.013649116851217637
dblp,query_32_32,VEQ,CFL,MMI,99.4793,100101,118808,168,0.0016783049120388408
dblp,query_32_33,VEQ,CFL,MMI,98.7184,100101,77000,32,0.00031967712610263634
dblp,query_32_34,VEQ,CFL,MMI,83.1187,100086,103412,32,0.00031972503646863695
dblp,query_32_35,VEQ,CFL,MMI,103.574,100106,132580,64,0.0006393223183425569
dblp,query_32_36,VEQ,CFL,MMI,76.5879,100078,84336,212,0.002118347688802734
dblp,query_32_37,VEQ,CFL,MMI,110.625,100113,138776,177,0.001768002157561955
dblp,query_32_38,VEQ,CFL,MMI,101.218,100102,102312,32,0.00031967393258875945
dblp,query_32_39,VEQ,CFL,MMI,109.485,100112,121376,64,0.000639284001917852
dblp,query_32_40,VEQ,CFL,MMI,115.238,100116,104772,64,0.000639258460186184
dblp,query_32_41,VEQ,CFL,MMI,80.6813,100083,132240,242,0.002417993065755423
dblp,query_32_42,VEQ,CFL,MMI,153.853,100156,126444,96,0.0009585047326171173
dblp,query_32_43,VEQ,CFL,MMI,89.3247,100092,102992,64,0.0006394117411980978
dblp,query_32_44,VEQ,CFL,MMI,155.595,100157,152432,286,0.0028555168385634554
dblp,query_32_45,VEQ,CFL,MMI,96.767,100098,90268,154,0.0015384922775679834
dblp,query_32_46,VEQ,CFL,MMI,147.579,100149,124664,652,0.006510299653516261
dblp,query_32_47,VEQ,CFL,MMI,119.128,100122,119636,32,0.0003196100757076367
dblp,query_32_48,VEQ,CFL,MMI,129.557,100132,129368,483,0.004823632804697799
dblp,query_32_49,VEQ,CFL,MMI,96.7057,100099,92924,0,0.0
dblp,query_32_50,VEQ,CFL,MMI,144.472,100147,102196,387,0.0038643194504079004
dblp,query_32_1,VEQ,CFL,MMN,178.037,100180,197384,1275,0.012727091235775603
dblp,query_32_2,VEQ,CFL,MMN,129.338,100130,125396,726,0.007250574253470489
dblp,query_32_3,VEQ,CFL,MMN,97.3985,100099,117172,185,0.0018481703113917222
dblp,query_32_4,VEQ,CFL,MMN,105.873,100107,74848,158,0.0015783112070085008
dblp,query_32_5,VEQ,CFL,MMN,115.413,100117,107700,153,0.0015282119919693958
dblp,query_32_6,VEQ,CFL,MMN,148.298,100149,149480,1082,0.010803902185743243
dblp,query_32_7,VEQ,CFL,MMN,111.554,100113,114000,397,0.003965518963571164
dblp,query_32_8,VEQ,CFL,MMN,121.359,100122,95828,217,0.0021673558258924115
dblp,query_32_9,VEQ,CFL,MMN,110.812,100112,80500,119,0.001188668691066006
