human,query_4_1,NON,DEG,MatCo,1.40728,51.1179,273392,221
human,query_4_2,NON,DEG,MatCo,1.00757,6.06537,142544,151
human,query_4_3,NON,DEG,MatCo,2.26054,12.1355,724248,605
human,query_4_4,NON,DEG,MatCo,2.25106,12.1041,724248,605
human,query_4_5,NON,DEG,MatCo,1.2953,3.54586,242888,294
human,query_4_6,NON,DEG,MatCo,1.30913,10.7104,63648,157
human,query_4_7,NON,DEG,MatCo,1.19914,29.9561,188504,152
human,query_4_8,NON,DEG,MatCo,1.23098,1.67131,16900,66
human,query_4_9,NON,DEG,MatCo,1.19356,2.87734,211024,117
human,query_4_10,NON,DEG,MatCo,1.52019,4.36348,259712,261
human,query_4_11,NON,DEG,MatCo,0.723668,0.905081,13640,33
human,query_4_12,NON,DEG,MatCo,1.15454,1.74225,172912,58
human,query_4_13,NON,DEG,MatCo,1.13668,1.98765,189856,205
human,query_4_14,NON,DEG,MatCo,1.82235,2.91541,167952,119
human,query_4_15,NON,DEG,MatCo,0.793791,1.34589,43984,148
human,query_4_16,NON,DEG,MatCo,0.860167,5.53599,63648,157
human,query_4_17,NON,DEG,MatCo,0.774252,0.944655,20816,36
human,query_4_18,NON,DEG,MatCo,1.21048,3.25584,217392,273
human,query_4_19,NON,DEG,MatCo,1.05706,1.49696,133552,51
human,query_4_20,NON,DEG,MatCo,3.14874,18.0037,724248,605
human,query_4_21,NON,DEG,MatCo,1.13098,2.3339,197376,135
human,query_4_22,NON,DEG,MatCo,0.917367,1.81066,83488,314
human,query_4_23,NON,DEG,MatCo,1.26246,2.2665,236160,188
human,query_4_24,NON,DEG,MatCo,0.7606,1.42008,20216,80
human,query_4_25,NON,DEG,MatCo,1.55467,26.0291,315880,302
human,query_4_26,NON,DEG,MatCo,0.913749,3.23505,89156,65
human,query_4_27,NON,DEG,MatCo,0.76797,1.65137,37344,48
human,query_4_28,NON,DEG,MatCo,2.50602,6.2515,327200,222
human,query_4_29,NON,DEG,MatCo,1.26313,3.73027,253760,112
human,query_4_30,NON,DEG,MatCo,0.716048,1.07225,38104,117
human,query_4_31,NON,DEG,MatCo,1.20959,2.23316,307088,92
human,query_4_32,NON,DEG,MatCo,0.860738,4.32839,71636,221
human,query_4_33,NON,DEG,MatCo,1.16161,2.13648,27172,151
human,query_4_34,NON,DEG,MatCo,1.33689,1.61407,54320,21
human,query_4_35,NON,DEG,MatCo,1.5338,2.19286,101656,127
human,query_4_36,NON,DEG,MatCo,0.912336,5.55317,63648,157
human,query_4_37,NON,DEG,MatCo,1.17786,1.78485,35320,109
human,query_4_38,NON,DEG,MatCo,1.13363,1.33236,8716,5
human,query_4_39,NON,DEG,MatCo,1.40654,13.0027,74904,232
human,query_4_40,NON,DEG,MatCo,1.20577,2.73707,216464,116
human,query_4_41,NON,DEG,MatCo,1.94156,3.22242,175488,113
human,query_4_42,NON,DEG,MatCo,2.64275,7.54752,338908,645
human,query_4_43,NON,DEG,MatCo,0.820311,0.900632,6672,5
human,query_4_44,NON,DEG,MatCo,1.25556,2.6107,220016,272
human,query_4_45,NON,DEG,MatCo,0.700935,5.30932,63648,157
human,query_4_46,NON,DEG,MatCo,1.4201,3.15568,327200,222
human,query_4_47,NON,DEG,MatCo,0.816138,3.12985,60224,143
human,query_4_48,NON,DEG,MatCo,2.28486,12.1336,724248,605
human,query_4_49,NON,DEG,MatCo,1.01576,1.97761,47224,102
human,query_4_50,NON,DEG,MatCo,1.46318,5.61042,403780,685
