data,query,filter,order,engine,preproc_time,total_time,mem_cost,coverage
human,query_4_1,NON,CFL,MMI,1.41781,1003.19,273392,221
human,query_4_1,VEQ,CFL,MMI,8.95274,1178.46,264868,221
human,query_4_1,LDF,CFL,MMI,1.3998,1167.2,269168,221
human,query_4_2,NON,CFL,MMI,1.03933,15.7254,142544,151
human,query_4_2,VEQ,CFL,MMI,3.4496,5.60861,95456,151
human,query_4_2,LDF,CFL,MMI,1.06325,13.7137,140408,151
human,query_4_3,NON,CFL,MMI,1.74975,412.614,724248,605
human,query_4_3,VEQ,CFL,MMI,23.883,471.016,715496,605
human,query_4_3,LDF,CFL,MMI,1.91132,462.503,720648,605
human,query_4_4,NON,CFL,MMI,2.31828,660.273,724248,605
human,query_4_4,VEQ,CFL,MMI,23.8327,346.878,715496,605
human,query_4_4,LDF,CFL,MMI,2.27723,429.178,720648,605
human,query_4_5,NON,CFL,MMI,1.31857,119.008,242888,294
human,query_4_5,VEQ,CFL,MMI,9.81248,86.3748,224976,294
human,query_4_5,LDF,CFL,MMI,1.32071,109.287,240072,294
human,query_4_6,NON,CFL,MMI,0.594694,1.83012,63648,157
human,query_4_6,VEQ,CFL,MMI,1.81038,3.25464,34424,157
human,query_4_6,LDF,CFL,MMI,0.691674,1.81006,62624,157
human,query_4_7,NON,CFL,MMI,1.78137,24.774,188504,152
human,query_4_7,VEQ,CFL,MMI,10.5186,29.1777,150768,152
human,query_4_7,LDF,CFL,MMI,1.19895,23.6763,182760,152
human,query_4_8,NON,CFL,MMI,0.661067,0.866928,16900,66
human,query_4_8,VEQ,CFL,MMI,0.849808,0.902065,1764,66
human,query_4_8,LDF,CFL,MMI,1.17054,1.66507,16308,66
human,query_4_9,NON,CFL,MMI,0.931436,35.261,211024,117
human,query_4_9,VEQ,CFL,MMI,5.94303,37.9864,151984,117
human,query_4_9,LDF,CFL,MMI,1.0903,40.6049,205088,117
human,query_4_10,NON,CFL,MMI,1.33828,35.2477,259712,261
human,query_4_10,VEQ,CFL,MMI,13.2869,45.092,247616,261
human,query_4_10,LDF,CFL,MMI,1.43072,33.939,253344,261
human,query_4_11,NON,CFL,MMI,0.644092,0.75889,13640,33
human,query_4_11,VEQ,CFL,MMI,1.34811,1.48114,4976,33
human,query_4_11,LDF,CFL,MMI,1.31571,1.5265,13040,33
human,query_4_12,NON,CFL,MMI,1.89161,10.6835,172912,58
human,query_4_12,VEQ,CFL,MMI,2.08667,6.47651,20504,58
human,query_4_12,LDF,CFL,MMI,1.86687,10.5627,169564,58
human,query_4_13,NON,CFL,MMI,1.05487,157.824,189856,205
human,query_4_13,VEQ,CFL,MMI,7.61965,95.7147,182136,205
human,query_4_13,LDF,CFL,MMI,1.13465,119.961,186336,205
human,query_4_14,NON,CFL,MMI,1.13576,5.58795,167952,119
human,query_4_14,VEQ,CFL,MMI,3.02097,3.98036,36800,119
human,query_4_14,LDF,CFL,MMI,1.82162,9.43948,165544,119
human,query_4_15,NON,CFL,MMI,0.66137,1.48719,43984,148
human,query_4_15,VEQ,CFL,MMI,6.33783,7.92513,43328,148
human,query_4_15,LDF,CFL,MMI,0.689645,1.49861,43576,148
human,query_4_16,NON,CFL,MMI,0.908979,2.42896,63648,157
human,query_4_16,VEQ,CFL,MMI,2.22146,3.98907,34424,157
human,query_4_16,LDF,CFL,MMI,0.873944,2.30325,62624,157
human,query_4_17,NON,CFL,MMI,0.611392,1.145,20816,36
human,query_4_17,VEQ,CFL,MMI,1.88748,2.80676,9400,36
human,query_4_17,LDF,CFL,MMI,0.797798,1.32938,18768,36
human,query_4_18,NON,CFL,MMI,2.29066,32.758,217392,273
human,query_4_18,VEQ,CFL,MMI,12.5641,38.4628,208168,273
human,query_4_18,LDF,CFL,MMI,1.29956,25.9121,212840,273
human,query_4_19,NON,CFL,MMI,1.07744,4.37297,133552,51
human,query_4_19,VEQ,CFL,MMI,1.32046,2.16846,10504,51
human,query_4_19,LDF,CFL,MMI,1.87186,7.66972,130872,51
human,query_4_20,NON,CFL,MMI,2.39677,441.834,724248,605
human,query_4_20,VEQ,CFL,MMI,24.8051,351.302,715496,605
human,query_4_20,LDF,CFL,MMI,1.81481,423.142,720648,605
human,query_4_21,NON,CFL,MMI,1.13571,75.7393,197376,135
human,query_4_21,VEQ,CFL,MMI,5.12013,48.8171,194976,135
human,query_4_21,LDF,CFL,MMI,1.13809,58.8749,195200,135
human,query_4_22,NON,CFL,MMI,0.836568,8.24534,83488,314
human,query_4_22,VEQ,CFL,MMI,3.31752,6.36245,24328,314
human,query_4_22,LDF,CFL,MMI,0.948664,8.74194,82472,314
human,query_4_23,NON,CFL,MMI,0.971709,48.9327,236160,188
human,query_4_23,VEQ,CFL,MMI,8.11745,86.3121,226248,188
human,query_4_23,LDF,CFL,MMI,1.08745,46.505,230688,188
human,query_4_24,NON,CFL,MMI,0.77109,1.64741,20216,80
human,query_4_24,VEQ,CFL,MMI,1.32769,2.15353,8800,80
human,query_4_24,LDF,CFL,MMI,0.771186,1.64649,19616,80
human,query_4_25,NON,CFL,MMI,1.26144,119.65,315880,302
human,query_4_25,VEQ,CFL,MMI,15.1699,115.372,278936,302
human,query_4_25,LDF,CFL,MMI,1.25753,136.153,314136,302
human,query_4_26,NON,CFL,MMI,0.979233,2.85501,89156,65
human,query_4_26,VEQ,CFL,MMI,1.83677,2.77888,30896,65
human,query_4_26,LDF,CFL,MMI,1.55517,5.1856,85732,65
human,query_4_27,NON,CFL,MMI,0.497466,1.42758,37344,48
human,query_4_27,VEQ,CFL,MMI,2.92457,6.72484,21960,48
human,query_4_27,LDF,CFL,MMI,0.645021,1.62219,36848,48
human,query_4_28,NON,CFL,MMI,2.49577,235.66,327200,222
human,query_4_28,VEQ,CFL,MMI,10.0297,211.544,310752,222
human,query_4_28,LDF,CFL,MMI,1.15849,150.243,320608,222
human,query_4_29,NON,CFL,MMI,1.06255,164.198,253760,112
human,query_4_29,VEQ,CFL,MMI,4.34141,139.369,250720,112
human,query_4_29,LDF,CFL,MMI,1.25294,158.332,252480,112
human,query_4_30,NON,CFL,MMI,0.742193,2.0008,38104,117
human,query_4_30,VEQ,CFL,MMI,1.41868,2.0409,19144,117
human,query_4_30,LDF,CFL,MMI,0.629978,1.5169,36328,117
human,query_4_31,NON,CFL,MMI,1.98825,24.1753,307088,92
human,query_4_31,VEQ,CFL,MMI,6.35898,18.6996,130976,92
human,query_4_31,LDF,CFL,MMI,1.21436,12.1055,305064,92
human,query_4_32,NON,CFL,MMI,0.713964,2.75881,71636,221
human,query_4_32,VEQ,CFL,MMI,2.48047,4.48344,39320,221
human,query_4_32,LDF,CFL,MMI,0.559149,2.43295,70840,221
human,query_4_33,NON,CFL,MMI,0.948458,1.72861,27172,151
human,query_4_33,VEQ,CFL,MMI,3.9982,4.50522,16964,151
human,query_4_33,LDF,CFL,MMI,0.801387,1.25257,26692,151
human,query_4_34,NON,CFL,MMI,1.33534,2.24349,54320,21
human,query_4_34,VEQ,CFL,MMI,0.789992,0.86134,2256,21
human,query_4_34,LDF,CFL,MMI,0.861794,1.23821,52632,21
human,query_4_35,NON,CFL,MMI,0.956666,1.72799,101656,127
human,query_4_35,VEQ,CFL,MMI,2.07087,2.69143,11564,127
human,query_4_35,LDF,CFL,MMI,1.61645,3.09182,99176,127
human,query_4_36,NON,CFL,MMI,0.721725,1.93925,63648,157
human,query_4_36,VEQ,CFL,MMI,1.65362,3.01059,34424,157
human,query_4_36,LDF,CFL,MMI,0.541795,1.65486,62624,157
human,query_4_37,NON,CFL,MMI,0.471922,2.17745,35320,109
human,query_4_37,VEQ,CFL,MMI,1.42208,2.53703,32536,109
human,query_4_37,LDF,CFL,MMI,0.741976,2.28147,33064,109
human,query_4_38,NON,CFL,MMI,0.510425,0.615176,8716,5
human,query_4_38,VEQ,CFL,MMI,1.0108,1.06956,96,5
human,query_4_38,LDF,CFL,MMI,0.916532,1.08964,8056,5
human,query_4_39,NON,CFL,MMI,0.737421,3.17845,74904,232
human,query_4_39,VEQ,CFL,MMI,4.90173,10.9702,39464,232
human,query_4_39,LDF,CFL,MMI,0.762381,3.2585,74328,232
human,query_4_40,NON,CFL,MMI,1.04703,100.932,216464,116
human,query_4_40,VEQ,CFL,MMI,3.8994,52.8765,126328,116
human,query_4_40,LDF,CFL,MMI,1.17843,86.4674,207824,116
human,query_4_41,NON,CFL,MMI,1.16049,26.176,175488,113
human,query_4_41,VEQ,CFL,MMI,5.03868,44.7308,120840,113
human,query_4_41,LDF,CFL,MMI,1.17354,26.1727,171344,113
human,query_4_42,NON,CFL,MMI,1.28867,100.443,338908,645
human,query_4_42,VEQ,CFL,MMI,15.8119,112.248,289580,645
human,query_4_42,LDF,CFL,MMI,1.51678,123.08,337048,645
human,query_4_43,NON,CFL,MMI,0.666441,0.716269,6672,5
human,query_4_43,VEQ,CFL,MMI,0.558254,0.580322,240,5
human,query_4_43,LDF,CFL,MMI,0.609792,0.644231,5640,5
human,query_4_44,NON,CFL,MMI,0.995267,94.6791,220016,272
human,query_4_44,VEQ,CFL,MMI,7.2899,100.25,211680,272
human,query_4_44,LDF,CFL,MMI,0.997557,94.5606,217256,272
human,query_4_45,NON,CFL,MMI,0.706037,1.92642,63648,157
human,query_4_45,VEQ,CFL,MMI,1.87817,3.21998,34424,157
human,query_4_45,LDF,CFL,MMI,0.744882,1.88792,62624,157
human,query_4_46,NON,CFL,MMI,2.28415,154.021,327200,222
human,query_4_46,VEQ,CFL,MMI,8.54725,187.748,310752,222
human,query_4_46,LDF,CFL,MMI,1.24128,148.83,320608,222
human,query_4_47,NON,CFL,MMI,0.612094,17.2439,60224,143
human,query_4_47,VEQ,CFL,MMI,2.78572,24.2326,52172,143
human,query_4_47,LDF,CFL,MMI,0.839298,22.3341,59684,143
human,query_4_48,NON,CFL,MMI,2.30494,443.026,724248,605
human,query_4_48,VEQ,CFL,MMI,30.3686,393.158,715496,605
human,query_4_48,LDF,CFL,MMI,2.29211,563.723,720648,605
human,query_4_49,NON,CFL,MMI,0.869607,1.64899,47224,102
human,query_4_49,VEQ,CFL,MMI,1.37896,1.44876,11328,102
human,query_4_49,LDF,CFL,MMI,0.716345,1.40598,45364,102
human,query_4_50,NON,CFL,MMI,1.29539,207.488,403780,685
human,query_4_50,VEQ,CFL,MMI,18.912,241.457,352436,685
human,query_4_50,LDF,CFL,MMI,1.32084,196.084,401676,685

