data,query,filter,order,engine,preproc_time,total_time,mem_cost,coverage
human,query_4_1,VEQ,CFL,MM,9.1154,982.641,264868,221
human,query_4_1,VEQ,CFL,MM,9.14218,1218.99,264868,221
