data,query,filter,order,mem_cost,coverage,engine_1,engine_2,engine_3,preproc_time_1,preproc_time_2,preproc_time_3,total_time_1,total_time_2,total_time_3,coverage_per_time_1,coverage_per_time_2,coverage_per_time_3
wordnet,query_32_1,VEQ,CFL,15424752,2071,MMI,MMN,MM,1973.4,1830.51,1791.02,101975,101832,101792,0.0249276783525373,0.0213783486526828,0.0203454102483495
wordnet,query_32_2,VEQ,CFL,14457852,25077,MMI,MMN,MM,2108.21,2159.95,2130.21,102109,102161,102131,0.2920114779304468,0.245896183475103,0.2455375938745337
wordnet,query_32_3,VEQ,CFL,29900128,41061,MMN,MM,MMI,2978.25,2950.33,3130.95,102980,102951,103132,0.4695086424548456,0.3988402249613894,0.021583989450413
wordnet,query_32_4,VEQ,CFL,25950076,7733,MMI,MM,MMN,3012.75,2864.64,3106.86,103014,102866,103108,0.0890655639039353,0.0751754710011082,0.0749990301431508
wordnet,query_32_5,VEQ,CFL,27001232,0,MM,MMN,MMI,2839.83,2847.66,2836.02,102841,102849,102838,0.0,0.0,0.0
wordnet,query_32_6,VEQ,CFL,41482808,45240,MMN,MMI,MM,4080.01,4020.98,4054.67,104081,104022,104056,0.4646861578962539,0.4370037107534945,0.4347658952871531
wordnet,query_32_7,VEQ,CFL,6566392,36035,MMI,MM,MMN,939.069,934.535,1085.0,100940,100936,101086,0.3585496334456112,0.3570084013632401,0.3565478899155175
wordnet,query_32_8,VEQ,CFL,21081976,5084,MMN,MM,MMI,2247.39,2249.65,2167.8,102248,102251,102169,0.0499960879430404,0.0497207851267958,0.0117941841458759
wordnet,query_32_9,VEQ,CFL,40189612,27127,MMN,MM,MMI,3743.55,3747.32,3747.82,103745,103748,103749,0.2810737866885151,0.2614701006284458,0.0012144695370557
wordnet,query_32_10,VEQ,CFL,34906200,0,MM,MMN,MMI,3962.83,3680.39,3783.39,103964,103682,103785,0.0,0.0,0.0
wordnet,query_32_11,VEQ,CFL,42881220,51607,MMI,MMN,MM,4240.02,4334.96,4522.04,104241,104336,104523,0.4976065079958941,0.4946231406226039,0.4937382202960114
wordnet,query_32_12,VEQ,CFL,27265200,39562,MMI,MMN,MM,3242.45,3115.88,3349.61,103244,103117,103351,0.3837704854519391,0.3836612779658058,0.3827926193263732
wordnet,query_32_13,VEQ,CFL,32872400,4304,MMN,MMI,MM,3517.31,3492.99,3612.42,103519,103494,103614,0.0521450168568089,0.0512590101841652,0.0415387881946455
wordnet,query_32_14,VEQ,CFL,25177892,46863,MMI,MMN,MM,2707.64,2721.96,2717.75,102709,102723,102719,0.4699977606636225,0.467110578935584,0.4562252358375763
wordnet,query_32_15,VEQ,CFL,28804500,0,MM,MMN,MMI,3394.81,3320.78,3599.22,103396,103322,103600,0.0,0.0,0.0
wordnet,query_32_16,VEQ,CFL,41108268,2156,MMI,MM,MMN,3980.87,3943.57,4115.08,103982,103945,104116,0.0502779327191244,0.0207417384193563,0.0207076722117638
wordnet,query_32_17,VEQ,CFL,25954020,3678,MMI,MMN,MM,3040.43,2802.71,2784.32,103042,102804,102786,0.0417305564721181,0.0372553597136298,0.035783083299282
wordnet,query_32_18,VEQ,CFL,7329308,42794,MMI,MMN,MM,1311.77,1253.4,1540.2,101313,101255,101541,0.4982677445145242,0.4971507579872599,0.4214455244679489
wordnet,query_32_19,VEQ,CFL,11882512,61660,MM,MMN,MMI,1282.54,1314.7,1280.3,101284,101316,101282,0.6087832234113977,0.6085909431876505,0.0006318990541261
wordnet,query_32_20,VEQ,CFL,18872604,10388,MMI,MMN,MM,2208.02,2304.19,2150.97,102209,102305,102152,0.1631363187194865,0.1053809686721079,0.1016915968360874
