data,query,memory_usage,time_cost,MatCo_num_results,coverage,coverage_per_time
yeast,query_32_1,928,27.1321,18,52,1.9165490323270222
yeast,query_32_2,928,18.6714,56,91,4.87376415266129
yeast,query_32_3,1196,17522.5,151,233,0.013297189328006848
yeast,query_32_4,928,4.32004,134,173,40.04592550068981
yeast,query_32_5,1240,1135.1,66,122,0.10747951722315216
yeast,query_32_6,928,52.5662,61,110,2.0925994270082295
yeast,query_32_7,1180,1410.82,94,141,0.09994187777320991
yeast,query_32_8,1236,59.4674,32,66,1.1098517843389824
yeast,query_32_9,1216,100000.0,145,218,0.00218
yeast,query_32_10,928,615.364,51,86,0.1397546817818397
yeast,query_32_11,928,375.561,26,73,0.19437588034966358
yeast,query_32_12,800,4.50091,106,149,33.10441666240827
yeast,query_32_13,1232,4.08459,47,79,19.340986488239945
yeast,query_32_14,864,7.09249,98,135,19.034217883987147
yeast,query_32_15,1244,100001.0,233,296,0.002959970400295997
yeast,query_32_16,928,6.97691,36,74,10.606414587546636
yeast,query_32_17,1184,94.6883,24,56,0.5914141451478165
yeast,query_32_18,800,237.704,99,144,0.605795443072056
yeast,query_32_19,1212,3007.66,120,170,0.05652234627584235
yeast,query_32_20,1240,100000.0,287,369,0.00369
yeast,query_32_21,928,17.4429,11,48,2.7518359905749614
yeast,query_32_22,928,5.12937,23,56,10.917520085312622
yeast,query_32_23,928,103.222,209,287,2.7804150278041506
yeast,query_32_24,1188,26.4093,23,60,2.271926934829776
yeast,query_32_25,1156,172.478,115,177,1.0262178364776957
yeast,query_32_26,1176,86447.1,336,409,0.0047312171258492184
yeast,query_32_27,1160,153.336,23,62,0.40434079407314655
yeast,query_32_28,1216,20.64,122,164,7.945736434108527
yeast,query_32_29,928,11.6356,47,92,7.906768881707862
yeast,query_32_30,1248,100000.0,475,541,0.00541
yeast,query_32_31,1248,100000.0,0,0,0.0
yeast,query_32_32,864,234.527,90,145,0.6182657007508731
yeast,query_32_33,800,79.5712,59,114,1.4326791602992037
yeast,query_32_34,928,15.5486,75,112,7.203220868759888
yeast,query_32_35,1152,4208.44,186,248,0.058929199418311776
yeast,query_32_36,928,2.54168,18,51,20.06546850901766
yeast,query_32_37,1184,48.063,28,76,1.5812579322971931
yeast,query_32_38,1120,44242.8,84,124,0.0028027159221387433
yeast,query_32_39,1120,1429.8,102,154,0.10770737166037209
yeast,query_32_40,1184,62.3163,118,167,2.679876693577764
yeast,query_32_41,928,4.72255,26,62,13.128500492318768
yeast,query_32_42,864,765.029,57,113,0.14770681895718987
yeast,query_32_43,1252,4749.03,28,59,0.012423589659362019
yeast,query_32_44,1196,100000.0,207,268,0.00268
yeast,query_32_45,928,1.22246,17,52,42.537179130605494
yeast,query_32_46,1160,30.2199,30,69,2.2832636772457886
yeast,query_32_47,1216,218.329,97,142,0.6503945879841889
yeast,query_32_48,1248,3348.21,152,203,0.06062941093897933
yeast,query_32_49,1168,14202.3,118,178,0.012533181245291257
yeast,query_32_50,928,10.6807,78,134,12.545994176411659
