data,query,memory_usage,time_cost,MatCo_num_results,coverage,coverage_per_time
human,query_24_1,1972,100000.0,176,200,0.002
human,query_24_2,1908,106.611,20,43,0.4033354907092139
human,query_24_3,1980,14.2312,162,185,12.999606498397887
human,query_24_4,1920,100000.0,139,168,0.00168
human,query_24_5,2156,100001.0,441,471,0.004709952900470995
human,query_24_6,1980,7076.9,635,661,0.0934024784863429
human,query_24_7,1976,12.4392,503,526,42.285677535532834
human,query_24_8,1908,100000.0,38,61,0.00061
human,query_24_9,1972,100001.0,0,0,0.0
human,query_24_10,1916,100000.0,213,240,0.0024
human,query_24_11,1908,100000.0,65,111,0.00111
human,query_24_12,1968,16.4007,29,52,3.170596376983909
human,query_24_13,1976,100000.0,165,188,0.00188
human,query_24_14,1976,100000.0,211,236,0.00236
human,query_24_15,1852,100000.0,91,114,0.00114
human,query_24_16,1980,100000.0,181,205,0.00205
human,query_24_17,1848,100000.0,139,163,0.00163
human,query_24_18,1984,100000.0,113,136,0.00136
human,query_24_19,1976,100000.0,178,202,0.00202
human,query_24_20,1976,100000.0,0,0,0.0
human,query_24_21,1976,100000.0,224,247,0.00247
human,query_24_22,1920,100000.0,125,150,0.0015
human,query_24_23,2200,100000.0,135,158,0.00158
human,query_24_24,2144,100000.0,0,0,0.0
human,query_24_25,2200,100000.0,0,0,0.0
human,query_24_26,2208,100000.0,128,154,0.00154
human,query_24_27,2180,100000.0,119,142,0.00142
human,query_24_28,1980,100000.0,570,596,0.00596
human,query_24_29,1912,100000.0,243,266,0.00266
human,query_24_30,1856,100000.0,584,609,0.00609
human,query_24_31,2220,100000.0,583,606,0.00606
human,query_24_32,1980,100000.0,169,192,0.00192
human,query_24_33,1980,100001.0,719,747,0.007469925300746993
human,query_24_34,1836,100000.0,0,0,0.0
human,query_24_35,2152,100000.0,94,117,0.00117
human,query_24_36,2196,100000.0,110,133,0.00133
human,query_24_37,1976,100000.0,55,80,0.0008
human,query_24_38,1852,81663.3,171,198,0.0024245897483937094
human,query_24_39,1980,100000.0,255,278,0.00278
human,query_24_40,1980,100000.0,99,122,0.00122
human,query_24_41,2236,100000.0,264,287,0.00287
human,query_24_42,1908,100000.0,0,0,0.0
human,query_24_43,1912,44.2543,495,559,12.631540889811838
human,query_24_44,1848,100000.0,135,158,0.00158
human,query_24_45,1972,100000.0,0,0,0.0
human,query_24_46,2212,100000.0,0,0,0.0
human,query_24_47,1856,1017.73,628,662,0.650467216255785
human,query_24_48,2248,100000.0,120,143,0.00143
human,query_24_49,1912,100000.0,173,196,0.00196
human,query_24_50,1988,100000.0,223,246,0.00246
