data,query,memory_usage,time_cost,MatCo_num_results,coverage,coverage_per_time
eu2005,query_24_1,3732,100008,2755,2858,0.02857771378289737
eu2005,query_24_2,3240,100008,90,126,0.0012598992080633548
eu2005,query_24_3,3112,100007,6987,8395,0.0839441239113262
eu2005,query_24_4,3208,100007,1464,1982,0.0198186126971112
eu2005,query_24_5,3124,100008,431,575,0.005749540036797056
eu2005,query_24_6,3064,100007,1128,1253,0.012529122961392702
eu2005,query_24_7,3148,100007,1385,1724,0.01723879328447009
eu2005,query_24_8,3044,100007,131,243,0.0024298299119061666
eu2005,query_24_9,3480,100009,0,0,0.0
eu2005,query_24_10,3108,100007,2401,2763,0.027628066035377524
eu2005,query_24_11,3276,100007,165,213,0.0021298509104362693
eu2005,query_24_12,3764,100010,2165,2245,0.02244775522447755
eu2005,query_24_13,3612,100010,361,500,0.004999500049995001
eu2005,query_24_14,3168,100004,927,1133,0.011329546818127275
eu2005,query_24_15,3108,100007,426,490,0.00489965702400832
eu2005,query_24_16,2984,100009,2052,2672,0.026717595416412523
eu2005,query_24_17,3200,100007,2004,2148,0.021478496505244634
eu2005,query_24_18,2932,100009,378,506,0.0050595446409823115
eu2005,query_24_19,3104,100007,166,256,0.002559820812543122
eu2005,query_24_20,3004,100007,179,251,0.002509824312298139
eu2005,query_24_21,4180,100007,3214,3374,0.033737638365314425
eu2005,query_24_22,3444,100007,2094,2581,0.02580819342646015
eu2005,query_24_23,3496,100010,377,446,0.00445955404459554
eu2005,query_24_24,3172,100010,215,283,0.0028297170282971704
eu2005,query_24_25,3220,100007,804,956,0.00955933084684072
eu2005,query_24_26,3480,100007,1707,1836,0.018358714889957703
eu2005,query_24_27,2728,100009,461,511,0.005109540141387275
eu2005,query_24_28,3292,100008,967,1147,0.011469082473402128
eu2005,query_24_29,3544,100007,919,966,0.009659323847330687
eu2005,query_24_30,3352,100007,1360,1700,0.01699881008329417
eu2005,query_24_31,3128,100008,3929,4489,0.04488640908727302
eu2005,query_24_32,3428,100007,415,473,0.0047296689231753775
eu2005,query_24_33,3240,100007,1322,1462,0.014618976671632986
eu2005,query_24_34,3620,100008,6328,7044,0.07043436525077994
eu2005,query_24_35,3176,100007,109,141,0.0014099013069085165
eu2005,query_24_36,3408,100007,413,538,0.005379623426360155
eu2005,query_24_37,3680,100008,4018,4295,0.04294656427485801
eu2005,query_24_38,2944,100007,878,1229,0.012289139760216785
eu2005,query_24_39,3244,100006,472,587,0.005869647821130732
eu2005,query_24_40,3304,100007,1684,1872,0.01871868969172158
eu2005,query_24_41,3780,100009,1611,1810,0.018098371146596806
eu2005,query_24_42,3260,100011,30,53,0.0005299417064122947
eu2005,query_24_43,3124,100010,112,159,0.0015898410158984102
eu2005,query_24_44,3140,100007,1089,1218,0.012179147459677823
eu2005,query_24_45,3516,100008,2698,2914,0.029137668986481083
eu2005,query_24_46,3700,100007,847,934,0.009339346245762797
eu2005,query_24_47,3092,100007,757,808,0.00807943443958923
eu2005,query_24_48,3192,100006,1724,2214,0.02213867167969922
eu2005,query_24_49,4260,100008,5125,5494,0.05493560515158787
eu2005,query_24_50,3560,100006,950,1045,0.010449373037617744
