data,query,filter,order,mem_cost,coverage,engine_1,engine_2,engine_3,preproc_time_1,preproc_time_2,preproc_time_3,total_time_1,total_time_2,total_time_3,coverage_per_time_1,coverage_per_time_2,coverage_per_time_3
dblp,query_32_1,VEQ,CFL,197384,1275,MMI,MM,MMN,169.715,168.652,178.037,100172,100170,100180,0.0143153775506129,0.0127283617849655,0.0127270912357756
dblp,query_32_2,VEQ,CFL,125396,721,MMN,MM,MMI,129.338,133.05,136.121,100130,100134,100139,0.0072505742534704,0.0072003515289512,0.0009586674522413
dblp,query_32_3,VEQ,CFL,117172,185,MMN,MM,MMI,97.3985,99.009,107.808,100099,100100,100110,0.0018481703113917,0.0018481518481518,0.0012785935470981
dblp,query_32_4,VEQ,CFL,74848,158,MMN,MM,MMI,105.873,108.6,106.926,100107,100110,100109,0.0015783112070085,0.0015782639096993,0.000319651579778
dblp,query_32_5,VEQ,CFL,107700,153,MMI,MM,MMN,137.035,115.482,115.413,100138,100117,100117,0.0024765823164033,0.0015282119919693,0.0015282119919693
dblp,query_32_6,VEQ,CFL,149480,1082,MMN,MM,MMI,148.298,150.147,158.485,100149,100151,100160,0.0108039021857432,0.0108036864334854,0.0022264376996805
dblp,query_32_7,VEQ,CFL,114000,397,MMN,MM,MMI,111.554,113.608,125.232,100113,100115,100126,0.0039655189635711,0.003965439744294,0.0003195973073926
dblp,query_32_8,VEQ,CFL,95828,217,MMN,MM,MMI,121.359,122.235,123.342,100122,100123,100125,0.0021673558258924,0.0021673341789598,0.0003196004993757
dblp,query_32_9,VEQ,CFL,80500,119,MMN,MM,MMI,110.812,112.622,133.841,100112,100114,100135,0.001188668691066,0.0011886449447629,0.0003195685824137
dblp,query_32_10,VEQ,CFL,137468,444,MMI,MMN,MM,127.989,128.29,132.488,100129,100129,100134,0.0044342797790849,0.0044342797790849,0.0044340583617951
dblp,query_32_11,VEQ,CFL,128612,391,MMI,MMN,MM,162.722,138.204,146.105,100165,100139,100147,0.0057804622373084,0.0039045726440248,0.003904260736717
dblp,query_32_12,VEQ,CFL,123320,412,MMI,MM,MMN,104.196,104.565,106.516,100105,100106,100108,0.0075320913041306,0.0041156374243302,0.0041155552003835
dblp,query_32_13,VEQ,CFL,134684,236,MM,MMN,MMI,90.8211,90.6272,95.9346,100092,100092,100097,0.0023578307956679,0.0023578307956679,0.0006293894921925
