data,query,memory_usage,time_cost,MatCo_num_results,coverage,coverage_per_time
yeast,query_4_1,212,0.92116,145,188,204.0904945937731
yeast,query_4_2,212,0.308462,16,27,87.53104110068662
yeast,query_4_3,84,1.08508,216,265,244.22162421203964
yeast,query_4_4,448,2.16851,400,487,224.578166575206
yeast,query_4_5,476,0.746655,140,157,210.27114262946074
yeast,query_4_6,216,0.599362,111,137,228.57638622401822
yeast,query_4_7,148,0.443378,1,4,9.021647443039573
yeast,query_4_8,148,0.517168,16,19,36.738545308294405
yeast,query_4_9,472,0.686216,72,105,153.01304545507537
yeast,query_4_10,212,0.456586,24,36,78.84604433775894
yeast,query_4_11,504,1.65305,282,332,200.84086990714135
yeast,query_4_12,84,1.63157,600,690,422.90554496589175
yeast,query_4_13,412,0.25205,1,4,15.869867089863122
yeast,query_4_14,492,0.228189,1,4,17.529328758178526
yeast,query_4_15,212,0.836296,145,163,194.90706639754345
yeast,query_4_16,216,0.694791,27,40,57.57126963360204
yeast,query_4_17,148,0.327001,38,48,146.78854193106443
yeast,query_4_18,148,0.444336,12,27,60.764826617694716
yeast,query_4_19,212,5.74168,441,498,86.73419626311464
yeast,query_4_20,212,0.562103,1,4,7.116133520013236
yeast,query_4_21,444,3.0825,368,426,138.19951338199513
yeast,query_4_22,212,2.4937,411,493,197.69819946264587
yeast,query_4_23,216,1.31749,266,323,245.1631511434622
yeast,query_4_24,208,0.414326,4,7,16.894908839899017
yeast,query_4_25,216,2.70835,350,409,151.01445529565973
yeast,query_4_26,84,0.956055,146,156,163.17052889216626
yeast,query_4_27,516,0.410601,16,19,46.27363304034817
yeast,query_4_28,440,0.423193,3,6,14.177928273860863
yeast,query_4_29,148,1.12282,60,78,69.4679467768654
yeast,query_4_30,504,0.793728,101,110,138.58651830349945
yeast,query_4_31,212,0.557574,136,166,297.71832976430034
yeast,query_4_32,512,0.377437,6,9,23.845039039627803
yeast,query_4_33,448,0.330267,7,18,54.50135799216998
yeast,query_4_34,148,0.549631,35,49,89.15072112016972
yeast,query_4_35,472,0.488387,24,40,81.90226193571901
yeast,query_4_36,152,0.510921,27,43,84.16173929041868
yeast,query_4_37,216,0.615065,95,124,201.60470844544886
yeast,query_4_38,216,1.31131,360,437,333.2545317278142
yeast,query_4_39,468,1.17738,307,344,292.1741493825273
yeast,query_4_40,88,1.38291,121,147,106.2975898648502
yeast,query_4_41,212,1.24086,18,36,29.012136743871185
yeast,query_4_42,444,0.935672,29,32,34.20001881001035
yeast,query_4_43,424,2.02612,224,287,141.65005034252658
yeast,query_4_44,80,0.341673,1,4,11.707100063511017
yeast,query_4_45,144,0.431456,1,4,9.270933768449158
yeast,query_4_46,212,0.521644,47,51,97.76782633366817
yeast,query_4_47,212,0.580512,29,49,84.40824651342263
yeast,query_4_48,212,0.514212,11,17,33.0602941977239
yeast,query_4_49,484,1.45213,135,157,108.11704186264316
yeast,query_4_50,212,2.46777,256,326,132.10307281472748
