data,query,memory_usage,time_cost,MatCo_num_results,coverage,coverage_per_time
youtube,query_8_1,524,208.974,3968,4563,21.835252232335122
youtube,query_8_2,624,1949.16,11308,12928,6.632600710049457
youtube,query_8_3,584,36907.9,9180,10674,0.28920637587074854
youtube,query_8_4,616,15750.8,9340,10934,0.6941869619320924
youtube,query_8_5,560,16411.6,9070,10632,0.647834458553706
youtube,query_8_6,672,627.042,11635,13102,20.894932077915033
youtube,query_8_7,764,1954.16,6790,7801,3.9919965611822983
youtube,query_8_8,620,39926.2,7895,9305,0.23305498645000028
youtube,query_8_9,564,152.165,3489,3897,25.61035717806329
youtube,query_8_10,680,1935.32,5666,6661,3.441808073083521
youtube,query_8_11,676,2887.64,10790,12389,4.290354753362608
youtube,query_8_12,812,619.226,6971,7917,12.785315862060056
youtube,query_8_13,544,2409.03,10176,11875,4.929369912371369
youtube,query_8_14,656,243.757,4853,5419,22.23115643858433
youtube,query_8_15,612,65.5822,15075,16373,249.6561567010561
youtube,query_8_16,668,10770.9,12634,14049,1.3043478260869565
youtube,query_8_17,548,12115.3,8592,10269,0.8476059197873763
youtube,query_8_18,664,212.45,6592,7338,34.539891739232765
youtube,query_8_19,644,70.6524,2841,3110,44.01832067983536
youtube,query_8_20,624,1567.57,9620,10878,6.939403025064272
youtube,query_8_21,640,68.0444,5442,6075,89.27994074457267
youtube,query_8_22,696,39189.6,9743,11486,0.2930879621123972
youtube,query_8_23,548,14432.6,8908,10820,0.7496916702465252
youtube,query_8_24,676,1732.27,4489,5242,3.0260871573138135
youtube,query_8_25,556,8129.27,8114,9415,1.158160572843564
youtube,query_8_26,616,26206.7,7991,9013,0.34391968466079287
youtube,query_8_27,544,350.274,5987,6763,19.307741939167624
youtube,query_8_28,620,90520.1,9407,11335,0.12522080731240906
youtube,query_8_29,608,22268.6,8576,9978,0.4480748677510037
youtube,query_8_30,620,100010.0,5659,6583,0.06582341765823417
youtube,query_8_31,688,794.406,11283,12927,16.272535705923673
youtube,query_8_32,608,2343.94,9644,11177,4.768466769627209
youtube,query_8_33,644,17154.6,8186,9872,0.5754724680260689
youtube,query_8_34,752,100008.0,8738,10156,0.101551875849932
youtube,query_8_35,744,507.742,1808,2254,4.439262460068302
youtube,query_8_36,660,2314.3,10700,12353,5.3376831007216
youtube,query_8_37,680,2881.3,8596,9499,3.296775760941242
youtube,query_8_38,552,19058.8,8142,9672,0.5074821080026025
youtube,query_8_39,604,16656.9,9304,10923,0.6557642778668299
youtube,query_8_40,608,12830.9,8746,10420,0.8121020349312987
youtube,query_8_41,684,432.308,3392,4020,9.298925765889134
youtube,query_8_42,664,59.2493,1677,1882,31.764088352098675
youtube,query_8_43,656,226.488,6768,7633,33.70156476281304
youtube,query_8_44,676,1009.66,3545,4157,4.11722758156211
youtube,query_8_45,684,560.83,7343,8209,14.637234099459729
youtube,query_8_46,560,7448.78,9918,11337,1.5219942057625544
youtube,query_8_47,748,102.574,2292,2677,26.098231520658256
youtube,query_8_48,668,12648.5,7949,9416,0.7444360991421908
youtube,query_8_49,668,14256.8,8396,10041,0.704295494080018
youtube,query_8_50,656,10660.0,8598,10139,0.9511257035647279
