data,query,memory_usage,time_cost,MatCo_num_results,coverage,coverage_per_time
human,query_16_1,1000,7.58906,27,42,5.534282243123655
human,query_16_2,996,100000.0,142,157,0.00157
human,query_16_3,1004,72411.2,352,373,0.005151136840709725
human,query_16_4,1252,100000.0,145,160,0.0016
human,query_16_5,1004,3.83876,193,217,56.52867071658556
human,query_16_6,1248,100000.0,197,216,0.00216
human,query_16_7,872,100000.0,120,139,0.00139
human,query_16_8,936,894.15,76,93,0.10400939439691327
human,query_16_9,864,100000.0,144,159,0.00159
human,query_16_10,996,100000.0,538,557,0.00557
human,query_16_11,992,100000.0,204,219,0.00219
human,query_16_12,936,16012.2,87,102,0.006370142766140817
human,query_16_13,1000,8921.67,357,378,0.042368749348496416
human,query_16_14,992,100000.0,52,82,0.00082
human,query_16_15,996,11.7362,7,22,1.8745420153030794
human,query_16_16,932,17332.3,81,102,0.0058849662191399876
human,query_16_17,1168,100001.0,563,578,0.005779942200577994
human,query_16_18,1004,50222.0,257,284,0.005654892278284417
human,query_16_19,984,12.3144,58,73,5.928019229519912
human,query_16_20,936,100000.0,357,374,0.00374
human,query_16_21,1244,100000.0,140,155,0.00155
human,query_16_22,1152,100000.0,0,0,0.0
human,query_16_23,1264,100000.0,580,599,0.00599
human,query_16_24,1008,100000.0,228,251,0.00251
human,query_16_25,1264,100000.0,142,157,0.00157
human,query_16_26,924,3696.62,40,55,0.014878456535970698
human,query_16_27,860,2.27211,4,19,8.36227119285598
human,query_16_28,992,100000.0,131,146,0.00146
human,query_16_29,992,100000.0,43,88,0.00088
human,query_16_30,1212,100000.0,0,0,0.0
human,query_16_31,1148,100000.0,183,200,0.002
human,query_16_32,992,100000.0,125,140,0.0014
human,query_16_33,996,100000.0,180,195,0.00195
human,query_16_34,860,153.528,38,55,0.35824084206138296
human,query_16_35,936,40.4307,96,128,3.165911052739626
human,query_16_36,992,118.883,85,100,0.8411631604182264
human,query_16_37,996,37.6591,517,559,14.843689838578191
human,query_16_38,984,50.4022,5,20,0.39680807583795946
human,query_16_39,1000,5.7618,95,110,19.091256204658265
human,query_16_40,996,21.0915,531,572,27.119929829552188
human,query_16_41,928,100000.0,84,114,0.00114
human,query_16_42,860,100000.0,0,0,0.0
human,query_16_43,856,14.0427,29,44,3.1333005761000376
human,query_16_44,992,100000.0,146,161,0.00161
human,query_16_45,996,2.00846,8,23,11.451559901616164
human,query_16_46,996,1.85982,7,22,11.829101741028701
human,query_16_47,932,100000.0,0,0,0.0
human,query_16_48,924,2.19778,6,21,9.555096506474715
human,query_16_49,1000,100000.0,618,640,0.0064
human,query_16_50,1224,100000.0,237,252,0.00252
