data,query,memory_usage,time_cost,MatCo_num_results,coverage,coverage_per_time
yeast,query_24_1,936,346.086,60,98,0.28316661176701746
yeast,query_24_2,848,1.11535,43,69,61.86398888241359
yeast,query_24_3,616,5.39673,64,97,17.973847125944786
yeast,query_24_4,548,3.58496,6,29,8.089351066678567
yeast,query_24_5,488,148.801,95,132,0.8870908125617436
yeast,query_24_6,936,4520.2,249,307,0.06791734878987656
yeast,query_24_7,612,805.511,86,124,0.15393954893229267
yeast,query_24_8,896,154.029,66,102,0.6622129598971622
yeast,query_24_9,616,194.272,63,108,0.5559215944654917
yeast,query_24_10,948,102.219,86,123,1.2032987996360756
yeast,query_24_11,612,232.048,55,96,0.41370750879128454
yeast,query_24_12,548,2.41845,26,49,20.260910914015174
yeast,query_24_13,616,3.52892,32,69,19.552724346258913
yeast,query_24_14,616,18.4741,38,62,3.3560498211008927
yeast,query_24_15,616,8.99905,39,68,7.556353170612454
yeast,query_24_16,616,3.43044,26,56,16.324436515432424
yeast,query_24_17,612,114.207,42,71,0.6216781808470584
yeast,query_24_18,488,3.35407,43,73,21.764602408417236
yeast,query_24_19,904,3.03947,31,68,22.372321490259814
yeast,query_24_20,896,94233.3,280,362,0.0038415294805551753
yeast,query_24_21,948,100000.0,295,361,0.00361
yeast,query_24_22,872,11.7426,34,81,6.897961269224874
yeast,query_24_23,552,1.95314,38,61,31.231760140082123
yeast,query_24_24,872,4357.71,297,379,0.08697228590245794
yeast,query_24_25,956,14.1252,95,139,9.840568629116756
yeast,query_24_26,944,41.931,71,105,2.5041139014094584
yeast,query_24_27,816,1.27755,25,49,38.35466322257446
yeast,query_24_28,916,48669.4,468,564,0.011588390241096048
yeast,query_24_29,936,9.21484,50,81,8.790168901467633
yeast,query_24_30,924,2880.8,175,238,0.08261594001666203
yeast,query_24_31,840,864.08,166,211,0.2441903527451162
yeast,query_24_32,616,1.42858,18,42,29.399823601058394
yeast,query_24_33,900,14346.8,123,188,0.013103967435246885
yeast,query_24_34,948,100000.0,209,287,0.00287
yeast,query_24_35,904,3.06056,13,38,12.416028439239877
yeast,query_24_36,808,54.8358,19,49,0.8935768238997152
yeast,query_24_37,616,756.948,67,113,0.14928370244719585
yeast,query_24_38,940,4380.19,376,446,0.10182206707928196
yeast,query_24_39,936,1783.19,144,199,0.1115977545858826
yeast,query_24_40,840,1.73644,8,33,19.004399806500658
yeast,query_24_41,932,10578.0,25,49,0.00463225562488183
yeast,query_24_42,872,100000.0,171,252,0.00252
yeast,query_24_43,896,1.00292,14,38,37.88936305986519
yeast,query_24_44,616,32.6659,96,140,4.285814871165344
yeast,query_24_45,548,12.2647,29,63,5.136693111123795
yeast,query_24_46,612,5.67667,15,44,7.751023046962392
yeast,query_24_47,616,5.38371,35,59,10.958985532281643
yeast,query_24_48,852,100000.0,310,385,0.00385
yeast,query_24_49,484,2.09729,21,44,20.97945443882343
yeast,query_24_50,884,3.12665,37,64,20.469192266483297
