data,query,memory_usage,time_cost,MatCo_num_results,coverage,coverage_per_time
dblp,query_32_1,2004,100003,654,1073,0.01072967810965671
dblp,query_32_2,2000,100004,122,188,0.0018799248030078796
dblp,query_32_3,2000,100004,0,0,0.0
dblp,query_32_4,1932,100004,114,159,0.0015899364025438983
dblp,query_32_5,2000,100003,73,104,0.001039968800935972
dblp,query_32_6,1944,100003,544,867,0.008669739907802766
dblp,query_32_7,2000,100004,37,72,0.000719971201151954
dblp,query_32_8,1928,100003,77,138,0.0013799586012419628
dblp,query_32_9,1932,100003,67,99,0.0009899703008909733
dblp,query_32_10,2008,100003,257,444,0.00443986680399588
dblp,query_32_11,1936,100004,250,375,0.00374985000599976
dblp,query_32_12,1940,100003,127,194,0.0019399418017459476
dblp,query_32_13,1996,100003,94,138,0.0013799586012419628
dblp,query_32_14,1932,100004,0,0,0.0
dblp,query_32_15,1940,100003,116,162,0.0016199514014579562
dblp,query_32_16,1872,100004,89,135,0.0013499460021599136
dblp,query_32_17,1936,100003,86,122,0.001219963401097967
dblp,query_32_18,2004,100004,130,290,0.0028998840046398143
dblp,query_32_19,1940,100003,204,323,0.0032299031029069127
dblp,query_32_20,1944,100003,297,577,0.005769826905192844
dblp,query_32_21,2000,100003,248,388,0.003879883603491895
dblp,query_32_22,1940,100003,104,162,0.0016199514014579562
dblp,query_32_23,2000,100003,79,111,0.00110996670099897
dblp,query_32_24,1992,100004,0,0,0.0
dblp,query_32_25,1936,100004,106,143,0.0014299428022879084
dblp,query_32_26,1992,100004,81,134,0.0013399464021439142
dblp,query_32_27,1940,100004,156,214,0.002139914403423863
dblp,query_32_28,1940,100003,375,632,0.006319810405687829
dblp,query_32_29,2000,100004,129,172,0.00171993120275189
dblp,query_32_30,1936,100004,90,123,0.0012299508019679214
dblp,query_32_31,2004,100004,569,844,0.00843966241350346
dblp,query_32_32,1992,100004,55,91,0.0009099636014559418
dblp,query_32_33,1936,100004,49,80,0.0007999680012799488
dblp,query_32_34,1936,100004,87,118,0.0011799528018879245
dblp,query_32_35,1872,100003,219,354,0.0035398938031859046
dblp,query_32_36,1936,100004,76,138,0.0013799448022079118
dblp,query_32_37,2004,100004,65,97,0.0009699612015519379
dblp,query_32_38,1936,100004,115,163,0.0016299348026078957
dblp,query_32_39,2004,100003,134,243,0.0024299271021869344
dblp,query_32_40,1996,100004,108,157,0.0015699372025118996
dblp,query_32_41,2000,100004,88,130,0.0012999480020799167
dblp,query_32_42,2008,100003,778,1142,0.011419657410277692
dblp,query_32_43,1936,100004,105,141,0.0014099436022559097
dblp,query_32_44,1940,100004,380,603,0.006029758809647614
dblp,query_32_45,1932,100003,66,103,0.0010299691009269722
dblp,query_32_46,1996,100004,133,212,0.002119915203391864
dblp,query_32_47,1940,100004,156,236,0.002359905603775849
dblp,query_32_48,1936,100003,177,244,0.002439926802195934
dblp,query_32_49,1872,100004,75,108,0.001079956801727931
dblp,query_32_50,1940,100003,175,274,0.002739917802465926
