data,query,memory_usage,time_cost,MatCo_num_results,coverage,coverage_per_time
dblp,query_24_1,1308,100003,88,119,0.0011899643010709678
dblp,query_24_2,1320,100003,414,605,0.006049818505444836
dblp,query_24_3,1320,100003,166,272,0.0027199184024479265
dblp,query_24_4,1380,100003,54,86,0.0008599742007739768
dblp,query_24_5,1308,100003,75,98,0.0009799706008819734
dblp,query_24_6,1256,100003,315,544,0.005439836804895853
dblp,query_24_7,1372,100003,0,0,0.0
dblp,query_24_8,1276,100003,508,666,0.0066598002059938205
dblp,query_24_9,1400,100003,94,128,0.0012799616011519655
dblp,query_24_10,1396,100003,217,283,0.0028299151025469238
dblp,query_24_11,1380,100003,180,281,0.002809915702528924
dblp,query_24_12,1312,100003,325,479,0.004789856304310871
dblp,query_24_13,1312,100003,91,117,0.0011699649010529685
dblp,query_24_14,1248,100004,78,102,0.0010199592016319346
dblp,query_24_15,1248,100003,110,134,0.001339959801205964
dblp,query_24_16,1256,100003,363,523,0.005229843104706859
dblp,query_24_17,1252,100003,116,204,0.002039938801835945
dblp,query_24_18,1384,100003,268,417,0.004169874903752887
dblp,query_24_19,1340,100003,117,195,0.0019499415017549474
dblp,query_24_20,1384,100003,211,365,0.0036498905032849014
dblp,query_24_21,1336,100003,58,84,0.0008399748007559773
dblp,query_24_22,1408,100003,448,600,0.005999820005399838
dblp,query_24_23,1380,100003,73,104,0.001039968800935972
dblp,query_24_24,1376,100003,109,157,0.0015699529014129576
dblp,query_24_25,1316,100003,100,124,0.0012399628011159666
dblp,query_24_26,1384,100003,175,277,0.0027699169024929253
dblp,query_24_27,1376,100003,53,99,0.0009899703008909733
dblp,query_24_28,1380,100003,97,146,0.0014599562013139606
dblp,query_24_29,1384,100004,538,696,0.006959721611135555
dblp,query_24_30,1380,100003,94,121,0.0012099637010889674
dblp,query_24_31,1320,100003,242,374,0.003739887803365899
dblp,query_24_32,1316,100003,0,0,0.0
dblp,query_24_33,1256,100003,630,967,0.009669709908702738
dblp,query_24_34,1316,100003,148,199,0.0019899403017909463
dblp,query_24_35,1376,100004,0,0,0.0
dblp,query_24_36,1252,100003,184,319,0.003189904302870914
dblp,query_24_37,1316,100003,963,1494,0.014939551813445596
dblp,query_24_38,1380,100004,98,121,0.0012099516019359225
dblp,query_24_39,1316,100003,381,630,0.00629981100566983
dblp,query_24_40,1256,100003,281,447,0.004469865904022879
dblp,query_24_41,1376,100003,76,102,0.0010199694009179726
dblp,query_24_42,1380,100003,143,212,0.002119936401907943
dblp,query_24_43,1312,100004,67,123,0.0012299508019679214
dblp,query_24_44,1316,100004,90,122,0.001219951201951922
dblp,query_24_45,1316,100003,332,622,0.0062198134055978325
dblp,query_24_46,1380,100003,438,614,0.006139815805525834
dblp,query_24_47,1316,100003,59,84,0.0008399748007559773
dblp,query_24_48,1380,100003,60,108,0.0010799676009719708
dblp,query_24_49,1380,100003,244,407,0.00406987790366289
dblp,query_24_50,1380,100003,158,255,0.0025499235022949313
