data,query,filter,order,mem_cost,coverage,engine_1,engine_2,engine_3,preproc_time_1,preproc_time_2,preproc_time_3,total_time_1,total_time_2,total_time_3,coverage_per_time_1,coverage_per_time_2,coverage_per_time_3
human,query_16_1,VEQ,CFL,440896,42,MMN,MMI,MM,4.54811,4.64555,5.90531,100006.0,100006.0,100007.0,0.0004199748015119,0.0004199748015119,0.0004199706020578
human,query_16_2,VEQ,CFL,375780,157,MMI,MMN,MM,9.13889,9.96065,9.19801,444.92,574.956,607.626,0.3528724265036411,0.2730643736216336,0.2583826235217058
human,query_16_3,VEQ,CFL,223152,373,MM,MMI,MMN,13.0301,13.174,16.9143,100014.0,100014.0,100018.0,0.0037294778730977,0.0037294778730977,0.0037293287208302
human,query_16_4,VEQ,CFL,279448,160,MMI,MMN,MM,10.987,11.0108,11.0556,21.6755,23.2899,23.8028,7.381605960646813,6.869930742510702,6.721898264069773
human,query_16_5,VEQ,CFL,2226544,157,MMI,MM,MMN,74.8202,52.1385,82.2328,100076.0,100053.0,100083.0,0.0015788001119149,0.0015691683407793,0.001568697980676
human,query_16_6,VEQ,CFL,2151424,208,MMN,MMI,MM,59.5301,68.9108,70.7236,100061.0,100070.0,100072.0,0.0020787319734961,0.002078545018487,0.0020785034774962
human,query_16_7,VEQ,CFL,916120,124,MMI,MMN,MM,30.3185,21.1342,30.6183,100031.0,100022.0,100032.0,0.0014895382431446,0.0012397272600027,0.0012396033269353
human,query_16_8,VEQ,CFL,14700,93,MM,MMI,MMN,2.16986,2.65443,2.08883,13.645,17.3075,19.3247,6.8156834005130085,5.373393037700419,4.812493855014567
human,query_16_9,VEQ,CFL,437380,158,MMI,MMN,MM,14.832,14.2904,16.8345,100016.0,100015.0,100018.0,0.0016597344424892,0.0015797630355446,0.0015797156511827
human,query_16_10,VEQ,CFL,4928716,166,MMI,MMN,MM,98.2754,112.631,128.181,100099.0,100114.0,100129.0,0.0021079131659656,0.0016581097548794,0.001657861358847
human,query_16_11,VEQ,CFL,2804504,214,MM,MMN,MMI,95.7054,100.09,114.426,100097.0,100101.0,100115.0,0.0021379262115747,0.0021378407808113,0.0006292763322179
human,query_16_12,VEQ,CFL,2073296,72,MMI,MMN,MM,29.8105,25.5684,29.0638,100031.0,100027.0,100030.0,0.0009996900960702,0.0007198056524738,0.0007197840647805
human,query_16_13,VEQ,CFL,75640,332,MM,MMN,MMI,8.15134,11.1414,8.22821,100009.0,100012.0,100009.0,0.0033197012268895,0.0033196016478022,0.0028297453229209
human,query_16_14,VEQ,CFL,437084,48,MMI,MMN,MM,23.9996,15.4651,18.3293,100025.0,100017.0,100019.0,0.00063984003999,0.0004799184138696,0.0004799088173247
human,query_16_15,VEQ,CFL,1508,22,MMI,MMN,MM,5.48076,5.69438,5.82845,5.5336,5.74885,5.88224,3.975712013878849,3.8268523269871366,3.74007180937874
human,query_16_16,VEQ,CFL,72272,64,MM,MMN,MMI,6.35957,8.02884,8.81279,100007.0,100009.0,100010.0,0.0006399552031357,0.0006399424051835,0.0006399360063993
human,query_16_17,VEQ,CFL,1522556,204,MM,MMN,MMI,46.5465,64.309,54.0324,100048.0,100065.0,100055.0,0.0020390212697905,0.0020386748613401,0.0016590875018739
human,query_16_18,VEQ,CFL,7853764,213,MM,MMN,MMI,133.559,171.382,133.02,100135.0,100172.0,100134.0,0.0021271283766914,0.0021263426905722,0.0010585815007889
human,query_16_19,VEQ,CFL,16560,73,MM,MMN,MMI,1.80848,2.12892,2.04549,45.9172,49.6354,50.8594,1.589818194489211,1.4707245232233448,1.4353295555983752
human,query_16_20,VEQ,CFL,1827012,264,MMN,MM,MMI,67.7734,72.5196,59.7588,100069.0,100074.0,100061.0,0.0026381796560373,0.0026380478445949,0.0004597195710616
human,query_16_21,VEQ,CFL,1682916,184,MMI,MMN,MM,63.9167,57.1037,65.7045,100065.0,100058.0,100067.0,0.001958726827562,0.0018389334186172,0.0018387680254229
human,query_16_22,VEQ,CFL,1361064,176,MM,MMN,MMI,30.259,45.5268,33.5257,100031.0,100047.0,100035.0,0.0017594545690835,0.0017591731886013,0.0013895136702154
human,query_16_23,VEQ,CFL,4710468,198,MMI,MMN,MM,134.775,103.378,113.161,100136.0,100104.0,100114.0,0.0023867540145402,0.001977942939343,0.0019777453702778
human,query_16_24,VEQ,CFL,204752,251,MMN,MM,MMI,9.51507,11.9001,11.7019,100011.0,100013.0,100013.0,0.0025097239303676,0.0025096737424134,0.0025096737424134
human,query_16_25,VEQ,CFL,302116,157,MMI,MMN,MM,9.47277,9.31432,10.4058,2465.19,3502.46,3611.5,0.0636867746502298,0.044825636838108,0.0434722414509206
human,query_16_26,VEQ,CFL,510840,54,MM,MMN,MMI,8.43562,8.37879,8.40952,100009.0,100009.0,100009.0,0.0005399514043736,0.0005399514043736,0.0005399514043736
human,query_16_27,VEQ,CFL,960,19,MMN,MM,MMI,3.72186,3.96662,4.05433,3.76541,4.01427,4.10819,5.0459312531703056,4.733114613615926,4.624907806114129
