data,query,filter,order,mem_cost,coverage,engine_1,engine_2,engine_3,preproc_time_1,preproc_time_2,preproc_time_3,total_time_1,total_time_2,total_time_3,coverage_per_time_1,coverage_per_time_2,coverage_per_time_3
yeast,query_4_1,VEQ,CFL,5020,188,MMI,MMN,MM,1.48729,1.53784,1.54357,1.81951,1.87392,1.87506,103.3245214370902,100.32445355191255,100.26345823600312
yeast,query_4_2,VEQ,CFL,460,27,MMN,MMI,MM,0.321821,0.328426,0.334348,0.354122,0.364578,0.372755,76.2449099462897,74.05822622319504,72.43363603439256
yeast,query_4_3,VEQ,CFL,8472,265,MMN,MMI,MM,2.07259,2.04845,2.08679,2.83636,2.8818,2.89835,93.42960696103457,91.9564161288084,91.43133161971464
yeast,query_4_4,VEQ,CFL,19964,487,MMN,MMI,MM,4.46244,4.46679,8.88654,7.1507,7.15319,14.5265,68.10522046792622,68.08151328288497,33.5249371837676
yeast,query_4_5,VEQ,CFL,7004,157,MMI,MMN,MM,1.53984,1.55307,1.5926,2.20095,2.21731,2.23986,71.33283354914923,70.80651780761373,70.09366656844624
yeast,query_4_6,VEQ,CFL,3372,137,MM,MMN,MMI,0.961868,1.01306,1.8963,1.09212,1.14214,2.16438,125.44409039299713,119.95026879366804,63.29757251499274
yeast,query_4_7,VEQ,CFL,64,4,MMN,MMI,MM,0.360614,0.361752,0.3717,0.394784,0.400253,0.413582,10.132122882386318,9.993678998033744,9.671600795005585
yeast,query_4_8,VEQ,CFL,928,19,MMN,MM,MMI,0.704544,0.712885,0.715997,0.851494,0.869276,0.886214,22.313721529452938,21.8572697279115,21.4395168661294
yeast,query_4_9,VEQ,CFL,2220,105,MM,MMI,MMN,1.38889,1.37357,1.39601,1.7009,1.70332,1.70542,61.73202422247046,61.64431815513233,61.56841130044212
yeast,query_4_10,VEQ,CFL,628,36,MMI,MM,MMN,0.349107,0.393202,0.406901,0.397401,0.436138,0.442547,90.5885994247624,82.54268144486377,81.3472919260553
yeast,query_4_11,VEQ,CFL,17656,332,MM,MMN,MMI,3.33011,5.55318,6.51359,4.36922,7.544,9.13034,75.98610278264769,44.008483563096505,36.36228223702513
yeast,query_4_12,VEQ,CFL,23304,690,MMI,MMN,MM,4.76979,4.80598,9.52736,6.26709,6.62967,11.3978,110.09894544357908,104.07757852200788,60.53799856112583
yeast,query_4_13,VEQ,CFL,64,4,MMN,MM,MMI,0.215142,0.362369,0.380456,0.233945,0.398871,0.411869,17.098035863130224,10.028304890553589,9.711825847538902
yeast,query_4_14,VEQ,CFL,64,4,MM,MMI,MMN,0.176684,0.184695,0.215243,0.19589,0.205037,0.239755,20.41962325795089,19.5086740441969,16.683697941648767
yeast,query_4_15,VEQ,CFL,3412,163,MMN,MM,MMI,1.65727,1.65982,1.67483,1.75626,1.76504,1.78522,92.81085943994626,92.34918188822915,91.30527329964934
yeast,query_4_16,VEQ,CFL,3272,40,MM,MMN,MMI,0.905392,0.915396,1.78458,1.00666,1.01818,2.00311,39.73536248584427,39.285784438900784,19.96894828541618
yeast,query_4_17,VEQ,CFL,812,48,MMI,MM,MMN,0.417146,0.747127,0.76874,0.468296,0.847333,0.873358,102.4992739634761,56.64833070351326,54.96027974782392
yeast,query_4_18,VEQ,CFL,532,27,MMN,MM,MMI,0.334313,0.617253,0.625228,0.375677,0.697636,0.717258,71.8702502415639,38.702131197357936,37.643358456789606
yeast,query_4_19,VEQ,CFL,74760,498,MMI,MM,MMN,9.58986,9.60787,14.9921,28.2699,33.317,33.646,17.615909500917937,14.947324188852535,14.801165071628128
yeast,query_4_20,VEQ,CFL,64,4,MM,MMN,MMI,0.194564,0.356719,0.370173,0.213257,0.391239,0.408304,18.75671138579273,10.223929618468508,9.796622124691408
yeast,query_4_21,VEQ,CFL,16308,426,MMI,MM,MMN,3.74158,3.7593,7.68645,5.1,5.14103,10.34,83.52941176470588,82.86277263505562,41.19922630560929
yeast,query_4_22,VEQ,CFL,34632,493,MMN,MM,MMI,5.80248,5.91436,11.6049,11.3762,11.5354,19.8854,43.33608762152564,42.73800648438719,24.792058495177365
yeast,query_4_23,VEQ,CFL,10872,323,MMN,MM,MMI,2.55491,2.58294,2.61065,4.72317,4.74225,4.81179,68.38627447244119,68.11112868364172,67.12678649733259
yeast,query_4_24,VEQ,CFL,112,7,MMN,MM,MMI,0.20617,0.212787,0.389051,0.225945,0.23686,0.428667,30.980990949124784,29.55332263784514,16.32969181205924
