data,query,memory_usage,time_cost,MatCo_num_results,coverage,coverage_per_time
youtube,query_24_1,2780,100011.0,1752,2036,0.020357760646328903
youtube,query_24_2,2720,100010.0,2830,3345,0.03344665533446655
youtube,query_24_3,2836,100011.0,4778,5580,0.05579386267510574
youtube,query_24_4,2752,100010.0,3824,4221,0.0422057794220578
youtube,query_24_5,2780,100011.0,652,784,0.007839137694853567
youtube,query_24_6,2684,100010.0,626,752,0.007519248075192481
youtube,query_24_7,2816,100010.0,3026,3323,0.03322667733226677
youtube,query_24_8,2760,100010.0,5786,7125,0.07124287571242875
youtube,query_24_9,2932,100010.0,0,0,0.0
youtube,query_24_10,2792,100010.0,5370,5944,0.05943405659434057
youtube,query_24_11,2768,100010.0,5278,6349,0.06348365163483652
youtube,query_24_12,2704,100010.0,7122,8246,0.08245175482451755
youtube,query_24_13,2820,100010.0,2326,2477,0.024767523247675234
youtube,query_24_14,2656,100010.0,4045,4409,0.044085591440855915
youtube,query_24_15,2708,100010.0,7044,7894,0.07893210678932107
youtube,query_24_16,2756,100010.0,6113,7137,0.07136286371362864
youtube,query_24_17,2800,100010.0,3776,3999,0.03998600139986001
youtube,query_24_18,2736,100011.0,5988,6455,0.0645429002809691
youtube,query_24_19,2968,100010.0,2880,3701,0.037006299370062994
youtube,query_24_20,2712,100009.0,6147,7376,0.07375336219740224
youtube,query_24_21,2692,100010.0,6204,6917,0.06916308369163084
youtube,query_24_22,2676,100010.0,3452,3756,0.037556244375562445
youtube,query_24_23,2676,100010.0,672,723,0.007229277072292771
youtube,query_24_24,2772,100010.0,6003,7447,0.07446255374462554
youtube,query_24_25,2700,100010.0,7933,9031,0.0903009699030097
youtube,query_24_26,2696,100010.0,4346,5061,0.0506049395060494
youtube,query_24_27,2772,100009.0,4418,4874,0.04873561379475847
youtube,query_24_28,2640,100010.0,3504,3893,0.038926107389261076
youtube,query_24_29,2756,100010.0,991,1087,0.010868913108689131
youtube,query_24_30,3028,100014.0,4299,5131,0.05130281760553523
youtube,query_24_31,2636,100010.0,3941,4344,0.04343565643435657
youtube,query_24_32,2832,100010.0,4467,5117,0.051164883511648836
youtube,query_24_33,2692,100010.0,7411,8177,0.08176182381761823
youtube,query_24_34,2832,100010.0,5990,7047,0.07046295370462953
youtube,query_24_35,3024,100010.0,2292,2578,0.025777422257774223
youtube,query_24_36,2736,66.6043,215,306,4.594297965746956
youtube,query_24_37,2700,100010.0,3474,4108,0.04107589241075892
youtube,query_24_38,2832,100010.0,0,0,0.0
youtube,query_24_39,2844,100010.0,2599,2837,0.028367163283671632
youtube,query_24_40,2720,100010.0,5871,6679,0.06678332166783321
youtube,query_24_41,2636,100010.0,7621,8711,0.0871012898710129
youtube,query_24_42,2700,100010.0,6265,7458,0.07457254274572543
youtube,query_24_43,2816,100010.0,3385,3820,0.038196180381961806
youtube,query_24_44,2728,100010.0,7107,8244,0.08243175682431757
youtube,query_24_45,2760,100010.0,3827,4432,0.044315568443155685
youtube,query_24_46,2636,100010.0,2299,2713,0.027127287271272872
youtube,query_24_47,2796,100010.0,7036,7947,0.07946205379462054
youtube,query_24_48,2828,100010.0,4911,5291,0.05290470952904709
youtube,query_24_49,2784,100010.0,3972,4478,0.04477552244775523
youtube,query_24_50,2764,100010.0,5714,6446,0.06445355464453555
